id_tweet,fecha_creacion,usuario,texto_original,texto_procesado,sentimiento_predicho_texto
15,2025-05-21 15:43:35,usuario_generado,El tío que está delante mía en el ambulatorio lleva una camiseta chulisima de Dark Souls,tío delante ambulatorio llevar camiseta chulisima dark souls,neutro
16,2025-05-21 15:43:35,usuario_generado,Me encanta como han decidido a que universidad voy a ir sin ni siquiera consultarmelo,encantar decidir universidad ir ir siquiera consultarmelo,positivo
17,2025-05-21 15:43:35,usuario_generado,"Veo que nos extrañan...mi tío nos llamó, mi prima me dedica tuits y mi mamá me manda foto con caras tristes AH PERO CUANDO ESTO ALLÁ...",ver extrañanmi tío llamar prima dedicar tuits mamá mandar foto cara triste ah allá,neutro
18,2025-05-21 15:43:35,usuario_generado,"@user qué hermoso!,es bueno desviar la mirada al cielo y a las nubes de vez en cuando,abajo está jodido.preciosa foto,mil abrazos",hermoso bueno desviar mirada cielo nube vez cuandoabajo jodidopreciós fotomil abrazo,positivo
19,2025-05-21 15:43:35,usuario_generado,"@user q gran idea Fer !!! Pero tengo mucha flojera , andaba dándome ánimos para ir hasta el ecomarket de la otra cuadra.",q gran idea fer mucho flojera andar dándome ánimo ir ecomarket cuadra,positivo
20,2025-05-21 15:43:35,usuario_generado,"Soy la unica que quiere un poco mas a Assereto que a Pesaressi? Ojo, no digo que no quiera a GP pero GA, a él lo quiero un poco mas.",unico querer mas assereto pesaressi ojo decir querer gp gar querer mas,negativo
21,2025-05-21 15:43:35,usuario_generado,"Este año promete estar lleno de cosas buenas , espero con ansias cumplir muchas metas , vencer miedos , conocer personas",año prometer lleno cosa buena esperar ansia cumplir mucho meta vencer miedo conocer persona,positivo
22,2025-05-21 15:43:35,usuario_generado,"El Turrialba me odia, en definitiva, es el milésimo ataque de asma en el semestre",turrialba odiar definitiva milésimo ataque asma semestre,negativo
23,2025-05-21 15:43:35,usuario_generado,"@user jajajaja yo pensé que había captado la indirecta pero si, está vacilon el avatar",jajajajar pensar captar indirecta si vacilon avatar,negativo
24,2025-05-21 15:43:35,usuario_generado,@user @user La noticia perfecta para #NotasDelMisterio,noticia perfecto,positivo
25,2025-05-21 15:43:35,usuario_generado,No sé ni qué leer para tratar de entender lo que va a pasar. Todas mis fuentes usuales fallaron,saber leer tratar entender ir pasar todo fuente usual fallar,negativo
26,2025-05-21 15:43:35,usuario_generado,#CuandoTengoPlata lo gasto todo muy rápido,gastar rápido,negativo
27,2025-05-21 15:43:35,usuario_generado,@user Vale   Lo he probado hoy y me parece muy bueno... veré tus vídeos,valer probar hoy parecer bueno veré vídeo,positivo
28,2025-05-21 15:43:35,usuario_generado,"@user si, feo feo feo...que madre",si feir feo feoque madre,negativo
29,2025-05-21 15:43:35,usuario_generado,"@user ya me imagino su calor que debe estar haciendo allá, ya me imagino negra",imagino calor deber hacer allá imaginar negra,negativo
30,2025-05-21 15:43:35,usuario_generado,#FF a los geniales @user !!,genial,positivo
31,2025-05-21 15:43:35,usuario_generado,Es Tan Difícil ser YO. #BuenosDias,tanto difícil ser,negativo
32,2025-05-21 15:43:35,usuario_generado,@user ala  pues te apruebo con clases y trabajos extra!,ala pues aprobar clase trabajo extra,neutro
33,2025-05-21 15:43:35,usuario_generado,realmente hacía un gran trabajo pero dónde sea que esté espero que sepa que apreciamos mucho lo que hacía,realmente hacer gran trabajo dónde esperar sepa apreciar hacer,positivo
34,2025-05-21 15:43:35,usuario_generado,"@user júrelo que lo reconsidero siempre, tengo insomnio y la ansiedad no me deja dormir + tengo e mañana",júrelo reconsiderar siempre insomnio ansiedad dejar dormir mañana,negativo
35,2025-05-21 15:43:35,usuario_generado,"Quiero decirte, hola, como estas? Pero... los check azulitos me dan miedo",querer decirte hola check azulito dar miedo,neutro
36,2025-05-21 15:43:35,usuario_generado,@user Igual después del 20 se quedan sin chamba esos payasos. Lo único bueno de ese día: no quedará UN SOLO obamista en la Tierra.,igual después quedar chamba payaso único bueno día quedar solo obamista tierra,neutro
37,2025-05-21 15:43:35,usuario_generado,Creo que voy a hacer nuggets vegetarianos y patatas porque no sé qué hacer de comer y,creer ir hacer nugget vegetariano patata saber hacer comer,neutro
38,2025-05-21 15:43:35,usuario_generado,@user @user ahh eso   lawliet es más de nivel 800 ya  y había uno que era todavía más alto,ahh lawliet nivel todavía alto,positivo
39,2025-05-21 15:43:35,usuario_generado,@user @user ya quiero ver la segunda!!,querer ver segundo,neutro
40,2025-05-21 15:43:35,usuario_generado,"@user No, somos egoístas por distintas circunstancias e intereses. Solos estamos todos socia, es cosa de hacerse",egoístas distinto circunstancia interés solo socia cosa hacer él,negativo
41,2025-05-21 15:43:35,usuario_generado,"@user no sé tío, me imagino que pasados mediados de septiembre",saber tío imaginar pasado mediados septiembre,neutro
42,2025-05-21 15:43:35,usuario_generado,"@user te vas de la ""Bankada""? Que buena noticia... Pero ahora seguro la china te da por el tubino",ir bankada buen noticia ahora seguro china dar tubino,positivo
43,2025-05-21 15:43:35,usuario_generado,Yo dije que ayer no debí salir pero es que AGGGGG matenme solol soy un ser humano pero esta vez sí LA cague BIEN feo,decir ayer deber salir aggggg matenme solol ser humano vez cague bien feo,negativo
44,2025-05-21 15:43:35,usuario_generado,"Bueno, estoy en la batalla final del Conquista y ya después me faltaría Revelación",bueno batalla final conquista después faltar revelación,positivo
45,2025-05-21 15:43:35,usuario_generado,@user es genial. Tenés que ir. Merece estar en lista de lugares por conocer este año,genial tenés ir merecer lista lugar conocer año,positivo
46,2025-05-21 15:43:35,usuario_generado,"@user Hola, lamentamos leer esto  Por favor, danos todos los detalles en cliente@hyundai.es y te atenderemos lo antes posible. Salu2",hola lamentar leer favor dano detalle clientees atenderer posible salu,positivo
47,2025-05-21 15:43:35,usuario_generado,"@user @user @user Sí, perfecto, pero mi duda es si hay límites de edad para presentarse al concurso. Gracias",perfecto duda si límite edad presentar él concurso gracias,positivo
48,2025-05-21 15:43:35,usuario_generado,"@user ¿por qué ? ¡Tenés 9 días, actividades y muchas películas disponibles para asistir!",tenés día actividad mucho película disponible asistir,neutro
49,2025-05-21 15:43:35,usuario_generado,@user No nos lo recuerdes,recuerd,neutro
50,2025-05-21 15:43:35,usuario_generado,Lilo y Stich Somos ohana #Ohana #Familia #LiloyStich,lilo stich ohán,neutro
51,2025-05-21 15:43:35,usuario_generado,@user con todas estas fotos que nos pones cualquiera no puede tener un mal día  me matas.,todo foto poner cualquiera poder tener mal día matar,negativo
52,2025-05-21 15:43:35,usuario_generado,Me he quemado la cara y se me pela y el maquillaje queda fatal,quemar cara pelar maquillaje quedar fatal,negativo
53,2025-05-21 15:43:35,usuario_generado,@user Por lo menos podría traernos una postal del Santiago,menos poder traer yo postal santiago,neutro
54,2025-05-21 15:43:35,usuario_generado,Admiro demasiado cuando las mujeres suben fotos en vestido de baño y así porque mi complejo no me lo permite.,admirar demasiado mujer subir foto vestido baño así complejo permitir,positivo
55,2025-05-21 15:43:35,usuario_generado,No soy capaz de dormir,capaz dormir,neutro
56,2025-05-21 15:43:35,usuario_generado,@user Por que no hacen eso en otras provincias yo queria uno pero solo uso uber en cartago :-[ Yo queria Tamal!!,hacer provincia querio solo uso uber cartago queria tamal,neutro
57,2025-05-21 15:43:35,usuario_generado,"@user @user jaja, no lo se pero como no vivo de eso, tengo el privilegio de decir lo que opinio  A ver si nos vemos !!!",jaja vivir privilegio decir opiniir ver si ver,positivo
58,2025-05-21 15:43:35,usuario_generado,Os juro que a veces hacer el encaje pah un realista más bien lo que hace es joderme la vida,juro veces hacer encaje pah realista bien hacer joderme vida,negativo
59,2025-05-21 15:43:35,usuario_generado,@user estas finisimo esta tarde vete a hacer tests,finisimo tarde vetir hacer tests,positivo
60,2025-05-21 15:43:35,usuario_generado,#HolaSeptiembre ! Ya estamos de vuelta con energías renovadas!  Pronto os mostraremos los trabajos del verano! #BackToHogwarts,vuelta energía renovado pronto mostrarer trabajo verano,positivo
61,2025-05-21 15:43:35,usuario_generado,@user @user Vale me san confundio los oido  hacía mucho que no escuchaba el cara al sol JAJAJA,valer san confundar oido hacer escuchar cara sol jajaja,neutro
62,2025-05-21 15:43:35,usuario_generado,@user @user se puede hacer directo desde la ps4 sin capturadora,poder hacer directo p capturadora,positivo
63,2025-05-21 15:43:35,usuario_generado,@user  Me ha encantado el risotto de setas y el queso de cabra al horno con miel 😉. Enhorabuena.,encantar risotto seta queso cabra horno miel enhorabuena,positivo
64,2025-05-21 15:43:35,usuario_generado,"@user y tampoco me han enviado el correo diciendo que lo he comprado, aunque tengo fotos de lo contrario   podéis ayudarme?",tampoco enviar correo decir comprar aunque foto contrario poder ayudar yo,neutro
65,2025-05-21 15:43:35,usuario_generado,No se por que bueno es bueno poner buena cara cuando estas sufriendo o no puedes con algo mirar al espacio nomas y acordarse de DIOS,bueno bueno poner buen cara sufrir poder mirar espacio noma acordar él dio,positivo
66,2025-05-21 15:43:35,usuario_generado,"@user Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^",bueno menos acabar noche hermoso vista ami tambien gustar ver él noche,positivo
67,2025-05-21 15:43:35,usuario_generado,"@user me pasó lo mismo, el pobre se desorientaba",pasar mismo pobre desorientar,negativo
68,2025-05-21 15:43:35,usuario_generado,Pues que dicen que hubo #temblorcr y yo ni me di cuenta porque pasamos ensayando típico.,pues decir dar cuenta pasar ensayar típico,negativo
69,2025-05-21 15:43:35,usuario_generado,"@user Gracias por dar a ""Me gusta"" a nuestros tweets  ¿que tal? ¿estás trabajando Cristina?",gracias dar gustar tweet tal trabajar cristín,positivo
70,2025-05-21 15:43:35,usuario_generado,¿Será normal este odio-amor con mi hermana? Ni siquiera me respeta Me mandó a lavarme el culo al río lagarto.,normal odioamor hermana siquiera respetar mandar lavar yo culo río lagarto,negativo
71,2025-05-21 15:43:35,usuario_generado,Tengo la nariz helada jajaja como perrito,nariz helado jajaja perrito,positivo
72,2025-05-21 15:43:35,usuario_generado,"Mi última partida jugada, con Sona support. La grandes razones para jugar Sona   http",último partida jugado sona support grande razón jugar sona http,neutro
73,2025-05-21 15:43:35,usuario_generado,@user @user puf no veas  pobre chaval y donde lo han metido con toda esa gente,puf ver pobre chaval meter todo gente,negativo
74,2025-05-21 15:43:35,usuario_generado,"@user He ahí, el misterio del por qué no llegas a la fase REM, resuelto.",ahí misterio llegar fase rem resuelto,neutro
75,2025-05-21 15:43:35,usuario_generado,"@user @user @user ¡Cada vez sois más! Las risas están aseguradas entonces. Mañana preguntamos, dadlo por hecho",cada vez risa asegurado entonces mañana preguntar dadlo hecho,positivo
76,2025-05-21 15:43:35,usuario_generado,"@user El concepto ""para que A ocurra han de darse B y C"" pensaba que estaba explicado en el tuit...",concepto ocurra dar él b c pensar explicado tuit,negativo
77,2025-05-21 15:43:35,usuario_generado,Que mensajito alentador me mandaron,mensajito alentador mandar,positivo
78,2025-05-21 15:43:35,usuario_generado,@user  Si es que eres muy lista!,si listo,positivo
79,2025-05-21 15:43:35,usuario_generado,@user Nos vas a matar a todos y eso no da elo,ir matar dar elo,negativo
80,2025-05-21 15:43:35,usuario_generado,Diego se pierde el próximo partido,diego perder próximo partido,neutro
81,2025-05-21 15:43:35,usuario_generado,Janowiiiiiiiicz ole tus cojones y ole tu set y tu over!!!! No me pago las fiestas pero si algún cubata!! Buenos diiiiias mundo!!,janowiiiiiiiicz ole cojón ole set over pagar fiesta si alguno cubata buen diiiiia mundo,positivo
82,2025-05-21 15:43:35,usuario_generado,"Nunca vi a nadie gritar de terror ni saltar tanto en tan poco tiempo JAJAJAJAJAJAJAJAJAJAJAJAJA P no soy cruel, fue con cariño",nunca ver nadie gritar terror saltar tanto tiempo jajajajajajajajajajajajaja p cruel cariño,negativo
83,2025-05-21 15:43:35,usuario_generado,Mi culpa por comentarle en primer lugar,culpa comentar él primero lugar,negativo
84,2025-05-21 15:43:35,usuario_generado,"@user @user Es imposible resistirse a semejante himno, déjate llevar",imposible resistir él semejante himno déjatir llevar,positivo
85,2025-05-21 15:43:35,usuario_generado,@user  yo soy asi con mis amigos pero ellos no son así,asi amigo así,positivo
86,2025-05-21 15:43:35,usuario_generado,@user Me cachis ! Ya se olvidan de la pantalla partida   Pero la verdad tiene buena pinta el juego,cachis olvidar pantalla partido verdad buen pinta juego,positivo
87,2025-05-21 15:43:35,usuario_generado,@user ay  mejor eso que nada no?,ay mejor,positivo
88,2025-05-21 15:43:35,usuario_generado,@user @user Porque me toco un cofre épico sin legendario? Grs si responden,tocar cofre épico legendario grs si responder,positivo
89,2025-05-21 15:43:35,usuario_generado,"@user @user Estaba en otro horario pero yo no podía ir. Claro, como mejor te acomode.",horario poder ir claro mejor acomodir,positivo
90,2025-05-21 15:43:35,usuario_generado,@user @user vaya regalitos!!! 😂😂😂 os tengo que querer así,ir regalito querer así,positivo
91,2025-05-21 15:43:35,usuario_generado,@user por eso lo he puesto en comillas.....  pd la yankee ya tiene el fallo de pelocoño pues?,poner comilla pd yankee fallo pelocoño pues,negativo
92,2025-05-21 15:43:35,usuario_generado,Oye si sobretodo eso de trabajar duro! 2017 se viene con grandes cosas! Porque siempre…,oir si sobretodir trabajar duro venir grande cosa siempre,negativo
93,2025-05-21 15:43:35,usuario_generado,@user @user @user ya le pagan libre de impuestos !! JAjaa no te preocupes,pagar libre impuesto jajaa preocupar,negativo
94,2025-05-21 15:43:35,usuario_generado,"@user 4 minutos... La única que hago, y va a ser rojo... ¿soy gafe?",minuto único hacer ir ser rojo gafe,negativo
95,2025-05-21 15:43:35,usuario_generado,@user Yo igual no trabajo el 26.,igual trabajar,positivo
96,2025-05-21 15:43:35,usuario_generado,"@user @user @user Están comenzando a hacerse un poco visibles ahora. Y ya van por su segundo modelo ""Fairphone 2""",comenzar hacer él visible ahora ir segundo modelo fairphonir,positivo
97,2025-05-21 15:43:35,usuario_generado,"Hay gente aficionada al fútbol, hay fanáticos, hay envenenados, y hay otros hijueeeeputas necios! Igual que todo en la vida",gente aficionado fútbol fanático envenenado hijueeeeputa necio igual vida,negativo
98,2025-05-21 15:43:35,usuario_generado,Así leyendo entre líneas y el discurso de @user igual vota que no a Rajoy. #InvestiduraOndaCero,así leer línea discurso igual votar rajoy,neutro
99,2025-05-21 15:43:35,usuario_generado,"@user traductora jajaja, la autora es Adriana  Bronx es muy buena!",traductora jajajar autora adrián bronx buen,positivo
100,2025-05-21 15:43:35,usuario_generado,"Loa me pidió un favor y me dije que me diera chance y me hizo mal modo,que vaya a ver quién se la re culea que ya no le voy a hacer nada.",loa pedir favor decir dar chance hacer mal modoque vaya ver quién rar culear ir hacer,negativo
101,2025-05-21 15:43:35,usuario_generado,Necesito un te canela en serio no se si llorar o estar alegre o no se que me siento desubicado,necesitar canelar serio si llorar alegre sentir desubicado,negativo
102,2025-05-21 15:43:35,usuario_generado,Buena pela #LaPeorDeMisBodas @user @user @user @user @user @user buen elenco,buen pela buen elenco,positivo
103,2025-05-21 15:43:35,usuario_generado,"@user Cuando te lo creés, lo sos. Pero bueno, el drama tampoco es tan bonito",creés sos bueno drama tampoco tanto bonito,negativo
104,2025-05-21 15:43:35,usuario_generado,A veces me gustaría que a novia le gustara Disney tanto como a mi. Salen nuevas pelis o avances y necesito fangirlear,veces gustar novia gustar disney salir nuevo peli avance necesitar fangirlear,positivo
105,2025-05-21 15:43:35,usuario_generado,Ayer @user revisó mis lechugas y me felicitó. Hoy me siento como la mejor agricultora del mundo.,ayer revisar lechuga felicitar hoy sentir mejor agricultora mundo,positivo
106,2025-05-21 15:43:35,usuario_generado,"@user tu tío q tampoco he dicho nada malo,venga desbloq",tío q tampoco decir malovenguir desbloq,negativo
107,2025-05-21 15:43:35,usuario_generado,"Hoy con nuevos retos, ya no falta nada de nada para el GRAN día",hoy nuevo reto faltar gran día,positivo
108,2025-05-21 15:43:35,usuario_generado,"@user eres millonario. Eres millonario de felicidad,  que regalas en cada video. Eres millonario de apoyo, que recives de nosotros",millonario millonario felicidad rega él cada video millonario apoyo recivser,positivo
109,2025-05-21 15:43:35,usuario_generado,@user yo he subido una en gayumbos hace nada. Qué poco me lees paisana     @user,subir gayumbo hacer lees paisán,neutro
110,2025-05-21 15:43:35,usuario_generado,"BUen día ... Hoy será un miércoles pintado de crema y rojo. Vamos por esos 3 puntos , a dejar todo en la cancha #YdaleU @user",buen día hoy miércoles pintado crema rojo ir punto dejar cancha,neutro
111,2025-05-21 15:43:35,usuario_generado,"Ah, que ha empezado septiembre.....Bieeen!!!!! (algunos del equipo pillamos vacas en septiembre)  #BienvenidoSeptiembre al cuadrado",ah empezar septiembrebieear equipo pillar vaca septiembre cuadrado,neutro
112,2025-05-21 15:43:35,usuario_generado,Quiero cambiar de posición el cuarto pero soy tan indecisa que si después no me gusta me voy a sentir mal por una semana,querer cambiar posición cuarto tanto indeciso si después gustar ir sentir mal semana,negativo
113,2025-05-21 15:43:35,usuario_generado,"@user nombs cuál tercera. Yo voy a muchas actividades de @user en el año, ya van más de tres",nombs cuál tercero ir mucho actividad año ir tres,neutro
114,2025-05-21 15:43:35,usuario_generado,@user Legion>Novia? Lo bonito es Legión + novia en el pack  asi juegas con ella.,legionnovia bonito legión novio pack asi juega,positivo
115,2025-05-21 15:43:35,usuario_generado,"@user a mi me pasa igual, quiero estar con ellas pero quiero hacer muchas cosas también, y son muy poquitos díaaaas",pasar igual querer querer hacer mucho cosa poquito díaaaas,negativo
116,2025-05-21 15:43:35,usuario_generado,@user ah jaja pensé que era por eso. Claro yo no digo que seais vosotras jaja pero es así,ah jaja pensar claro decir seai jaja así,neutro
117,2025-05-21 15:43:35,usuario_generado,@user estan lindos tus gatitos.- producen ternura,estar lindo gatito producir ternura,positivo
118,2025-05-21 15:43:35,usuario_generado,Por que existe gente bruta !!! Que cuando ven con zapatillas nuevas te las pisan !! Que les pasa? Son dementes ? Peor cuando son blancas,existir gente bruto ver zapatilla nuevo pisar pasar dement peor blanco,negativo
119,2025-05-21 15:43:35,usuario_generado,@user pues imaginate en una casa muy grande,pues imaginate casa grande,positivo
120,2025-05-21 15:43:35,usuario_generado,@user Grazas por difundir a nosa campaña,graza difundir nós campaña,neutro
121,2025-05-21 15:43:35,usuario_generado,"Me muero un día borre canciones de fairy tail , me arrepiento muchísimo",morir día borrir canción fairy tail arrepientir muchísimo,negativo
122,2025-05-21 15:43:35,usuario_generado,"Fui sincera, supongo que está bien",sincero suponer bien,positivo
123,2025-05-21 15:43:35,usuario_generado,@user#veranosingluten2016 Riquísima pizza 4 quesos y tiramisú  Carta muy variada.,riquísimo pizza queso tiramisú carta variado,positivo
124,2025-05-21 15:43:35,usuario_generado,A las 6:30 he de estar en pie para la maldita ITV del coche,pie maldita itv coche,negativo
125,2025-05-21 15:43:35,usuario_generado,"@user Si lo compraste con tarjeta no tienes que hacer nada, si es en efectivo imagino que cualquier FNAC vale.",si comprastar tarjeta hacer si efectivo imagino cualquiera fnac valer,neutro
126,2025-05-21 15:43:35,usuario_generado,"@user con tu descubrimiento ahora tengo un TL mucho más entretenido, muchas gracias jaja",descubrimiento ahora tl entretenido mucho gracia jaja,positivo
127,2025-05-21 15:43:35,usuario_generado,Quien me ha llamado fea,llamar feo,negativo
128,2025-05-21 15:43:35,usuario_generado,"@user estate atento a nuestras redes sociales para estar informado de las fechas y sitios, y gracias por escribirnos",estatar atento red social informado fecha sitio gracias escribirno,positivo
129,2025-05-21 15:43:35,usuario_generado,@user Siempre buscando algo mejor  Ahora estoy bien y cobro bien. Pero puede que vaya a una del Prat!,siempre buscar mejor ahora bien cobro bien poder ir prat,positivo
130,2025-05-21 15:43:35,usuario_generado,"¿nunca han soñado que estan apuñalando a alguien y al ver que la sangre brota les provoca más clavarle el cuchillo?,¿no?,¿Soy solo yo?",nunca soñar estar apuñalar alguien ver sangre broto provocar clavar él cuchillonosoy solo,negativo
131,2025-05-21 15:43:35,usuario_generado,15. No me gusta el término   16. Meh  17. Depende de qué 18. No  19 Un perrete prechiocho  20. No 21. No 22. El año pasado,gustar término meh depender perrete prechiocho año pasado,positivo
132,2025-05-21 15:43:35,usuario_generado,Y en nada estará disponible vía #soundcloud mi nueva sesión con el mejor house y un rollazo flipante,disponible vía nuevo sesión mejor house rollazo flipante,positivo
133,2025-05-21 15:43:35,usuario_generado,"gritaba muchísimo, mordió a mi hermana y lo tenían que agarrar pfff de verdad lo he pasado fatal mi bebé",gritar muchísimo morder hermana agarrar pfff verdad pasar fatal bebé,negativo
134,2025-05-21 15:43:35,usuario_generado,@user Un masculino adulto que es fanático obsesivo de My Little Pony,masculino adulto fanático obsesivo my little pony,positivo
135,2025-05-21 15:43:35,usuario_generado,"@user @user +1 y coincido, no imaginaba que el 4k se notaría tanto a esas distancias. Pensando en pasar a Netflix UHD",coincido imaginar k notar distancia pensar pasar netflix uhd,positivo
136,2025-05-21 15:43:35,usuario_generado,@user la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que,voz maría final mata jajajsjajajaj quilla,neutro
137,2025-05-21 15:43:35,usuario_generado,"@user ¿Opto por el rapado? En serio, estoy muy confusa. (Y admito que me lo corto por aburrimiento, como el 99% de la gente)",opto rapado serio confuso admito cortar aburrimiento gente,negativo
138,2025-05-21 15:43:35,usuario_generado,@user @user @user en realidad en enero acá hace buen sol,realidad enero acá hacer buen sol,neutro
139,2025-05-21 15:43:35,usuario_generado,No es bonito estar sin celular,bonito celular,positivo
140,2025-05-21 15:43:35,usuario_generado,Ahora adelante va ser diferente y a mi modo ..voy ser muy fria ..hasta q te duela ..y te daras cuenta,ahora adelante ir ser diferente modo voy ser frio q duelar darar contar,positivo
141,2025-05-21 15:43:35,usuario_generado,La situación de anoche  La única soltera del grupo,situación anoche único soltera grupo,negativo
142,2025-05-21 15:43:35,usuario_generado,Qué triste debe ser redactar una nota bien alegre sobre los feriados que decreta el Gobierno y saber que tú no los vas a disfrutar,triste deber ser redactar nota bien alegre feriado decretar gobierno saber vas disfrutar,positivo
143,2025-05-21 15:43:35,usuario_generado,"No soy celosa, sólo marcó mi territorio",celoso sólo marcar territorio,negativo
144,2025-05-21 15:43:35,usuario_generado,Bueno ya tengo unos links guardados para el summer finale de pll  Espero que me funcionen hmm...,bueno link guardado summer finale pll esperar funcionar hmm,positivo
145,2025-05-21 15:43:35,usuario_generado,"@user siii a estar asustada, pero son horribles estos dolores ni modo",siii asustado horrible dolor modo,negativo
146,2025-05-21 15:43:35,usuario_generado,@user depende de la ruta así es el presupuesto.. pasame la info please!,depender ruta así presupuesto pasamir info please,neutro
147,2025-05-21 15:43:35,usuario_generado,@user Lo hemos pasado en grande con las 4 estaciones. Una auténtica gozada para toda la familia,pasar grande estación auténtico gozada todo familia,positivo
148,2025-05-21 15:43:35,usuario_generado,"Y ahora viene ese feliz momento entre los ""wake me Up when september ends"" y el suicidio",ahora venir feliz momento wake up when september ends suicidio,positivo
149,2025-05-21 15:43:35,usuario_generado,"@user Bueno, yo soy de la Real, neutral total",bueno real neutral total,positivo
150,2025-05-21 15:43:35,usuario_generado,Hace un día estupendo. Otra vez,hacer día estupendo vez,positivo
151,2025-05-21 15:43:35,usuario_generado,@user qué burrada pusieron hoy?? Que llevo meses bloqueada por otra heterada y me lo perdí,burrada poner hoy llevar mes bloqueado heterada perder,negativo
152,2025-05-21 15:43:35,usuario_generado,¿Me podrían recomendar alguna película antigua que les guste?  Muchas gracias,poder recomendar alguno película antiguo gustar mucho gracia,positivo
153,2025-05-21 15:43:35,usuario_generado,Buenos días ! Estamos a 3 días del día de la navidad ! Irma López en cabina durante las 2 horas de #TeMueveAM,buen día día día navidad irma lópez cabina hora,neutro
154,2025-05-21 15:43:35,usuario_generado,"Voy a soñar con fórmulas matemáticas, historia del mundo y la pasiva en inglés  *le explotará la cabesa*",ir soñar fórmula matemático historia mundo pasiva inglés explotar cabesa,neutro
155,2025-05-21 15:43:35,usuario_generado,@user @user @user a lo mejor lo he leído y después me he acordado y lo he puesto no lo sé de verdad,mejor leer después acordar poner saber verdad,positivo
156,2025-05-21 15:43:35,usuario_generado,@user Las maniaticas son lo mas divertidas,maniatica mas divertido,positivo
157,2025-05-21 15:43:35,usuario_generado,"@user @user a vosotros las manchas os quedan divinas y a mi me han potado un arcoiris en la cara con mucho odio, no es justo",mancha quedar divina potar arcoiris cara odio justo,negativo
158,2025-05-21 15:43:35,usuario_generado,"@user @user Ojalá, aunque la posibilidad es tan pequeña",ojalá aunque posibilidad tanto pequeño,positivo
159,2025-05-21 15:43:35,usuario_generado,@user ...genial iniciativa que nos puede ayudar,genial iniciativa poder ayudar,positivo
160,2025-05-21 15:43:35,usuario_generado,"Maldito maduro mil veces, por su culpa tuve que salir del país y alejarme de ella",maldito maduro mil vez culpa salir país alejar yo,negativo
161,2025-05-21 15:43:35,usuario_generado,@user solo dormire dos horitas bueno yo me lo busque,solo dormire dos horita bueno buscar,neutro
162,2025-05-21 15:43:35,usuario_generado,"Cuando estoy sola,me gusta escuchar los discos de Linkin Park o en cualquier momento,pero mas cuando estoy sola... :v",solame gusta escuchar disco linkin park cualquiera momentopero mas solo v,positivo
