"id_tweet","texto_original"
36,"@user Igual después del 20 se quedan sin chamba esos payasos. Lo único bueno de ese día: no quedará UN SOLO obamista en la Tierra."
37,"Creo que voy a hacer nuggets vegetarianos y patatas porque no sé qué hacer de comer y"
38,"@user @user ahh eso   lawliet es más de nivel 800 ya  y había uno que era todavía más alto"
39,"@user @user ya quiero ver la segunda!!"
40,"@user No, somos egoístas por distintas circunstancias e intereses. Solos estamos todos socia, es cosa de hacerse"
41,"@user no sé tío, me imagino que pasados mediados de septiembre"
42,"@user te vas de la ""Bankada""? Que buena noticia... Pero ahora seguro la china te da por el tubino"
43,"Yo dije que ayer no debí salir pero es que AGGGGG matenme solol soy un ser humano pero esta vez sí LA cague BIEN feo"
44,"Bueno, estoy en la batalla final del Conquista y ya después me faltaría Revelación"
45,"@user es genial. Tenés que ir. Merece estar en lista de lugares por conocer este año"
46,"@user Hola, lamentamos leer esto  Por favor, danos todos los detalles en cliente@hyundai.es y te atenderemos lo antes posible. Salu2"
47,"@user @user @user Sí, perfecto, pero mi duda es si hay límites de edad para presentarse al concurso. Gracias"
48,"@user ¿por qué ? ¡Tenés 9 días, actividades y muchas películas disponibles para asistir!"
49,"@user No nos lo recuerdes"
50,"Lilo y Stich Somos ohana #Ohana #Familia #LiloyStich"
51,"@user con todas estas fotos que nos pones cualquiera no puede tener un mal día  me matas."
52,"Me he quemado la cara y se me pela y el maquillaje queda fatal"
53,"@user Por lo menos podría traernos una postal del Santiago"
54,"Admiro demasiado cuando las mujeres suben fotos en vestido de baño y así porque mi complejo no me lo permite."
55,"No soy capaz de dormir"
56,"@user Por que no hacen eso en otras provincias yo queria uno pero solo uso uber en cartago :-[ Yo queria Tamal!!"
57,"@user @user jaja, no lo se pero como no vivo de eso, tengo el privilegio de decir lo que opinio  A ver si nos vemos !!!"
58,"Os juro que a veces hacer el encaje pah un realista más bien lo que hace es joderme la vida"
59,"@user estas finisimo esta tarde vete a hacer tests"
60,"#HolaSeptiembre ! Ya estamos de vuelta con energías renovadas!  Pronto os mostraremos los trabajos del verano! #BackToHogwarts"
61,"@user @user Vale me san confundio los oido  hacía mucho que no escuchaba el cara al sol JAJAJA"
62,"@user @user se puede hacer directo desde la ps4 sin capturadora"
63,"@user  Me ha encantado el risotto de setas y el queso de cabra al horno con miel 😉. Enhorabuena."
64,"@user y tampoco me han enviado el correo diciendo que lo he comprado, aunque tengo fotos de lo contrario   podéis ayudarme?"
65,"No se por que bueno es bueno poner buena cara cuando estas sufriendo o no puedes con algo mirar al espacio nomas y acordarse de DIOS"
66,"@user Bueno, al menos has acabado la noche con una hermosa vista  Ami tambien me gusta verlos por la noche ^^"
67,"@user me pasó lo mismo, el pobre se desorientaba"
68,"Pues que dicen que hubo #temblorcr y yo ni me di cuenta porque pasamos ensayando típico."
69,"@user Gracias por dar a ""Me gusta"" a nuestros tweets  ¿que tal? ¿estás trabajando Cristina?"
70,"¿Será normal este odio-amor con mi hermana? Ni siquiera me respeta Me mandó a lavarme el culo al río lagarto."
71,"Tengo la nariz helada jajaja como perrito"
72,"Mi última partida jugada, con Sona support. La grandes razones para jugar Sona   http"
73,"@user @user puf no veas  pobre chaval y donde lo han metido con toda esa gente"
74,"@user He ahí, el misterio del por qué no llegas a la fase REM, resuelto."
75,"@user @user @user ¡Cada vez sois más! Las risas están aseguradas entonces. Mañana preguntamos, dadlo por hecho"
76,"@user El concepto ""para que A ocurra han de darse B y C"" pensaba que estaba explicado en el tuit..."
77,"Que mensajito alentador me mandaron"
78,"@user  Si es que eres muy lista!"
79,"@user Nos vas a matar a todos y eso no da elo"
80,"Diego se pierde el próximo partido"
81,"Janowiiiiiiiicz ole tus cojones y ole tu set y tu over!!!! No me pago las fiestas pero si algún cubata!! Buenos diiiiias mundo!!"
82,"Nunca vi a nadie gritar de terror ni saltar tanto en tan poco tiempo JAJAJAJAJAJAJAJAJAJAJAJAJA P no soy cruel, fue con cariño"
83,"Mi culpa por comentarle en primer lugar"
84,"@user @user Es imposible resistirse a semejante himno, déjate llevar"
85,"@user  yo soy asi con mis amigos pero ellos no son así"
86,"@user Me cachis ! Ya se olvidan de la pantalla partida   Pero la verdad tiene buena pinta el juego"
87,"@user ay  mejor eso que nada no?"
88,"@user @user Porque me toco un cofre épico sin legendario? Grs si responden"
89,"@user @user Estaba en otro horario pero yo no podía ir. Claro, como mejor te acomode."
90,"@user @user vaya regalitos!!! 😂😂😂 os tengo que querer así"
91,"@user por eso lo he puesto en comillas.....  pd la yankee ya tiene el fallo de pelocoño pues?"
92,"Oye si sobretodo eso de trabajar duro! 2017 se viene con grandes cosas! Porque siempre…"
93,"@user @user @user ya le pagan libre de impuestos !! JAjaa no te preocupes"
94,"@user 4 minutos... La única que hago, y va a ser rojo... ¿soy gafe?"
95,"@user Yo igual no trabajo el 26."
96,"@user @user @user Están comenzando a hacerse un poco visibles ahora. Y ya van por su segundo modelo ""Fairphone 2"""
97,"Hay gente aficionada al fútbol, hay fanáticos, hay envenenados, y hay otros hijueeeeputas necios! Igual que todo en la vida"
98,"Así leyendo entre líneas y el discurso de @user igual vota que no a Rajoy. #InvestiduraOndaCero"
99,"@user traductora jajaja, la autora es Adriana  Bronx es muy buena!"
100,"Loa me pidió un favor y me dije que me diera chance y me hizo mal modo,que vaya a ver quién se la re culea que ya no le voy a hacer nada."
101,"Necesito un te canela en serio no se si llorar o estar alegre o no se que me siento desubicado"
102,"Buena pela #LaPeorDeMisBodas @user @user @user @user @user @user buen elenco"
103,"@user Cuando te lo creés, lo sos. Pero bueno, el drama tampoco es tan bonito"
104,"A veces me gustaría que a novia le gustara Disney tanto como a mi. Salen nuevas pelis o avances y necesito fangirlear"
105,"Ayer @user revisó mis lechugas y me felicitó. Hoy me siento como la mejor agricultora del mundo."
106,"@user tu tío q tampoco he dicho nada malo,venga desbloq"
107,"Hoy con nuevos retos, ya no falta nada de nada para el GRAN día"
108,"@user eres millonario. Eres millonario de felicidad,  que regalas en cada video. Eres millonario de apoyo, que recives de nosotros"
109,"@user yo he subido una en gayumbos hace nada. Qué poco me lees paisana     @user"
110,"BUen día ... Hoy será un miércoles pintado de crema y rojo. Vamos por esos 3 puntos , a dejar todo en la cancha #YdaleU @user"
111,"Ah, que ha empezado septiembre.....Bieeen!!!!! (algunos del equipo pillamos vacas en septiembre)  #BienvenidoSeptiembre al cuadrado"
112,"Quiero cambiar de posición el cuarto pero soy tan indecisa que si después no me gusta me voy a sentir mal por una semana"
113,"@user nombs cuál tercera. Yo voy a muchas actividades de @user en el año, ya van más de tres"
114,"@user Legion>Novia? Lo bonito es Legión + novia en el pack  asi juegas con ella."
115,"@user a mi me pasa igual, quiero estar con ellas pero quiero hacer muchas cosas también, y son muy poquitos díaaaas"
116,"@user ah jaja pensé que era por eso. Claro yo no digo que seais vosotras jaja pero es así"
117,"@user estan lindos tus gatitos.- producen ternura"
118,"Por que existe gente bruta !!! Que cuando ven con zapatillas nuevas te las pisan !! Que les pasa? Son dementes ? Peor cuando son blancas"
119,"@user pues imaginate en una casa muy grande"
120,"@user Grazas por difundir a nosa campaña"
121,"Me muero un día borre canciones de fairy tail , me arrepiento muchísimo"
122,"Fui sincera, supongo que está bien"
123,"@user#veranosingluten2016 Riquísima pizza 4 quesos y tiramisú  Carta muy variada."
124,"A las 6:30 he de estar en pie para la maldita ITV del coche"
125,"@user Si lo compraste con tarjeta no tienes que hacer nada, si es en efectivo imagino que cualquier FNAC vale."
126,"@user con tu descubrimiento ahora tengo un TL mucho más entretenido, muchas gracias jaja"
127,"Quien me ha llamado fea"
128,"@user estate atento a nuestras redes sociales para estar informado de las fechas y sitios, y gracias por escribirnos"
129,"@user Siempre buscando algo mejor  Ahora estoy bien y cobro bien. Pero puede que vaya a una del Prat!"
130,"¿nunca han soñado que estan apuñalando a alguien y al ver que la sangre brota les provoca más clavarle el cuchillo?,¿no?,¿Soy solo yo?"
131,"15. No me gusta el término   16. Meh  17. Depende de qué 18. No  19 Un perrete prechiocho  20. No 21. No 22. El año pasado"
132,"Y en nada estará disponible vía #soundcloud mi nueva sesión con el mejor house y un rollazo flipante"
133,"gritaba muchísimo, mordió a mi hermana y lo tenían que agarrar pfff de verdad lo he pasado fatal mi bebé"
134,"@user Un masculino adulto que es fanático obsesivo de My Little Pony"
135,"@user @user +1 y coincido, no imaginaba que el 4k se notaría tanto a esas distancias. Pensando en pasar a Netflix UHD"
136,"@user la voz de María al final me mata JAJAJSJAJAJAJ quilla y yo que"
137,"@user ¿Opto por el rapado? En serio, estoy muy confusa. (Y admito que me lo corto por aburrimiento, como el 99% de la gente)"
138,"@user @user @user en realidad en enero acá hace buen sol"
139,"No es bonito estar sin celular"
140,"Ahora adelante va ser diferente y a mi modo ..voy ser muy fria ..hasta q te duela ..y te daras cuenta"
141,"La situación de anoche  La única soltera del grupo"
142,"Qué triste debe ser redactar una nota bien alegre sobre los feriados que decreta el Gobierno y saber que tú no los vas a disfrutar"
143,"No soy celosa, sólo marcó mi territorio"
144,"Bueno ya tengo unos links guardados para el summer finale de pll  Espero que me funcionen hmm..."
145,"@user siii a estar asustada, pero son horribles estos dolores ni modo"
146,"@user depende de la ruta así es el presupuesto.. pasame la info please!"
147,"@user Lo hemos pasado en grande con las 4 estaciones. Una auténtica gozada para toda la familia"
148,"Y ahora viene ese feliz momento entre los ""wake me Up when september ends"" y el suicidio"
149,"@user Bueno, yo soy de la Real, neutral total"
150,"Hace un día estupendo. Otra vez"
151,"@user qué burrada pusieron hoy?? Que llevo meses bloqueada por otra heterada y me lo perdí"
152,"¿Me podrían recomendar alguna película antigua que les guste?  Muchas gracias"
153,"Buenos días ! Estamos a 3 días del día de la navidad ! Irma López en cabina durante las 2 horas de #TeMueveAM"
154,"Voy a soñar con fórmulas matemáticas, historia del mundo y la pasiva en inglés  *le explotará la cabesa*"
155,"@user @user @user a lo mejor lo he leído y después me he acordado y lo he puesto no lo sé de verdad"
156,"@user Las maniaticas son lo mas divertidas"
157,"@user @user a vosotros las manchas os quedan divinas y a mi me han potado un arcoiris en la cara con mucho odio, no es justo"
158,"@user @user Ojalá, aunque la posibilidad es tan pequeña"
159,"@user ...genial iniciativa que nos puede ayudar"
160,"Maldito maduro mil veces, por su culpa tuve que salir del país y alejarme de ella"
161,"@user solo dormire dos horitas bueno yo me lo busque"
162,"Cuando estoy sola,me gusta escuchar los discos de Linkin Park o en cualquier momento,pero mas cuando estoy sola... :v"
163,"El año pasado lloré cuando Shawn dijo que vendría y yo no pude ir y soy consciente de que este año tampoco va a poder ser, quiero llorar"
164,"@user Acabo de llamar y si tienen! Muchísimas gracias"
165,"Mi mamá me dice que no vaya al colé, en serio que la amo. Pero tengo que ir"
166,"@user 2 horas esperando en Comisaría Gandia y han atendido a 3 personas! Y solamente para una autorización de viaje a un menor."
167,"@user Hola! en estos momento van chequear tu solicitud para poder ayudarte lo antes posible, lamentamos el retraso"
168,"Bob Dylan siempre ha sido un gran poeta Siempre lo dije. Siempre lo pensé. Sigo emocionada ¡Los tiempos están cambiando!"
169,"@user somos el PACMA, a todos caemos bien pero nadie nos quiere.  Lloremos juntos"
170,"Yo: espero encontrar a alguien este año -un muchacho: hey, hola Yo: mae más necio!"
171,"@user @user doble sub-campeón de Europa  algo es algo jaja"
172,"Mis tenis fueron las primeras en ser compradas y no han llegado todo el mundo con tenis nuevas y yo aquí, zad."
173,"@user es posible, por eso imagínate el aporte a alguien que no ha estado"
174,"@user @user Hola Joaquín, redifundimos. Un abrazo"
175,"@user nu , no sirve cualquiera  Lo probé hace poco para una app coreana y no me dejaba u^u por lo de la tarjeta de crédito"
176,"Y pensar que luego de tantos años siempre ha habido una persona que ha pensado igual que yo, la única"
177,"Sin duda, esta fue una noche buena, maravillosa. Compañía, comida y bebida, perfectas. Amo a mi familia."
178,"Ese placer secreto de quedarte sin datos y no saber qué michi pasa en el mundo"
179,"Ptm, en serio Rafael se pasa!! En fin, mejor no me meto en ese asunto"
180,"Que lindo día el de hoy"
181,"estoy entre dos, pero las dos son súper caras"
182,"Los problemas no son eternos, siempre tienen solución. La vida es corta, por eso ama, se feliz, siempre se sonríe, vive intensamente"
183,"Aunque aún no te lo creas, déjame decirte que eres hermosa. Aunque aparentes ser muy orgullosa, sé muy bien que tu amor es puro."
184,"@user imagínate! Si cuando uno saluda a alguien que está saludando al de atrás se siente feo.. me da miedo ajeno"
185,"Perrita Pelusa, en Amazonas, perdió sus cachorros y adoptó (robó) dos gatitos recién nacidos para amamantarlos"
186,"Mi Jefazo hermoso @user #DejaQueTeBese en @user @user @user @user #FanaticaSiempre @user"
187,"Ahora que empiezan las jornadas de toros en esta ciudad me pongo un poco más triste al ver que seguimos sin evolucionar en muchas cosas"
188,"Lo unico Navideño que hay en mi casa son las luces del módem"
189,"Te amo demasiado!!! Por tu sensualidad , inocencia y belleza...porque pareces tonta pero sé que no lo eres y xq eres joven @user"
190,"En serio me estoy asando"
191,"Buenos días, el televisor se te averío, no hay problema, estamos en Getafe, consultanos en el 916950781.   http"
192,"@user Pero Nicole Page Brooks from Atlanta Georgia es la más icónica de todas serving fish"
193,"Vamos a enfrentarnos un poquito a fotos viejas ) apuf"
194,"@user @user No, pero dejarte la piel, ir 7º y descartar los puntos sí. Lee el text Carlos nos lo explicó muy clarito"
195,"@user Te mando un abrazo. Vienen días duros, pero se superan eventualmente"
196,"@user incluso los hay que hacen series, farleks y otras absurdidades para sufrir más ENTRENANDO!!!"
197,"Estoy feliz porque Shawn viene a España pero estoy muy triste porque vivo taaan lejos de Madrid. En la vida me dejan ir"
198,"@user Que alegría, que bueno, me alegra escuchar(leer) eso."
199,"Que triste todo este cierre de año para mi 🇨🇷 linda"
200,"Hoy a Santi se le rego el pichel lleno de fresco, y yo parecia Senicienta por todo el piso JAJAJ"
201,"Las partidas en la beta de Battlefield 1 con amigos son lo mejor del mundo, las risas que me echo no son normales"
202,"@user ¿Vos también estabas? Ay que triste nombres sí, yo estaba durmiendo, para ir a clase hoy a las 7:30am ¡¡Te extraño bebé!!"
203,"@user @user @user Claro claro! Buscamos justo los otros"
204,"@user eso sin duda alguna .. con esa voz melodiosa a que ser humano no le podría encantar.. #TE_QUIERO_SOLITA_PA_MI"
205,"Quiero teñirme el pelo, pero a la vez no, y tampoco sé de qué color, solo sé que quiero hacer algo y es muy sad"
206,"Cuando sales a comer solo #sunglasses #blackandwhite #bn #mall @ Real Plaza - Centro Civico"
207,"@user @user @user Esa es genial... súper chula y menudas vistas"
208,"@user lo veo más que jodido, pero la esperanza nunca se pierde."
209,"- se llevo los doritos y los frescos - pero no se llevo EL PAN @user"
210,"El solo que hace Rosendo en Flojos de Pantalón es Flipante!!!"
211,"@user no te vale con votar verdad? MAL. Na, yo prefiero born this way y no la han votado"
212,"Tantos argentinos y @user no viene"
213,"@user es una teja ese cabrón. Si en el programa se ve agradable, en la vida real es el doble de buena gente."
214,"Tenía examen de francés y no fui mañana le pido cacao al profe"
215,"@user pues la aludida ...y yo mismo...sí...Buen día"
216,"no me preguntéis por qué cojo así los móviles para hacerme selfies, no lo sé ni yo pero es hiper cómodo"
217,"@user esta claro que has vuelto fuerte pero sabes k hasta que no hagas un pick a favor de nuestra musa Kalinskaya no seras tu"
218,"@user nop, la paja me la haré cuando cuele el haberlas"
219,"Como siempre mi tortilla triunfa mas que otros platos  #playa… http"
220,"@user @user más bien una piedra pintada"
221,"De mi balcón veo pasar pavos horneados y jóvenes horneándose"
222,"@user @user @user Hace unas assistencias que flipas Messi y pases flipantes"
223,"@user me voy a morir quiero verlo en vivo y tigo no tiene CBS"
224,"@user Comprendo. ¡Mil gracias! Es solo porque me pareció ver un precio y, al recoger el producto, el precio era otro. ¡Alzheimer!"
225,"@user Sí, era justo y necesario. Lo hice y me siento mejor"
226,"@user el de hoy es feo"
227,"@user Pues no se pierde nada, salvo mamarrachadas demodé.  @user"
228,"Hoy no es un día cualquiera, hoy cumplo 2 años con la mejor persona que la vida pudo darme."
229,"@user sabes que eso no es así"
230,"-hola, quiero pagar la renovación del dni. -el azul? -si jajaja Alto martes señoreeessss!"
231,"@user @user @user Si hay que pecar de algo, que sea de ser buena gente!"
232,"@user @user aunque hay que decir que el pokemon negro 2 me ha reventado a críticos"
233,"el francotirador esparzano murio en su ley"
234,"He capturado mi primer gimnasio en el Pokemon Go. Cierto es que es probable que no tarden ni 10 minutos en quitarmelo. Pero mola"
235,"@user es la mejor y la peor a la vez. Yo la quiero de vuelta, no me la pueden quitar así con otro cuarto puesto en Río"
236,"@user sígueme por ig por allá estoy más activa que aqui"
237,"@user Tidus. Por supuesto. Me descojonaría con él. O Zack, para impedirle ir a Nibelheim con Cloud."
238,"@user Intentan salvar a Lincoln como Julián con Lorca... Aparte de que es una copia descarada de MdT, no se parecen en nada"
239,"@user @user pero... Ella... No es verde!!!! Aunque ahora que lo dices... Es muy... Eh..."
240,"@user @user es muy cuqui. Si te gusta, comprarlo y listo"
241,"@user yo llevo medio verano debajo de la dichosa máquina... menudo verano largo este año de sofoco..."
242,"Hoy me desvelo de nuevo"
243,"@user ¡Gracias! P.D. Sigan adelante con sus maravillosos trabajos. Quizá algún día un tributo a Soda Stereo jeje"
244,"venga ya hombre jope tias yo quiero cosas intensas no me hagais estas preguntas"
245,"@user Yo necesito una piedra hielo. La única que conseguí fue para Vulpix Alola. Tengo que sacarla del Resort"
246,"El día q tenga amigos de vdd seré feliz"
247,"No se con qué rayos pintan la señaletica de las pistas, pero mi cuarto apesta a esa huevada"
248,"Yo veía #VBQ por Dani y Pamela, normal que maten a mi otp. Siempre me pasa jajhshdga"
249,"@user jajaja! genial, te deseo lo mismo  los días se construyen, verdad?"
250,"""ESTOY HARTA DEL SEMESTRE "" -Yo, sábado por la noche, resolviendo integrales para encontrar áreas."
251,"@user @user +10000, cremos una agencia de contratación de temporales, a ver cómo se vende a los sindicatos"
252,"@user jajajaja gracias  cuando esté entera como quiero haré una sesión de fotos"
253,"Si me hubieran pagado el viernes estaría fuertemente de fiesta, pero no aquí estoy acostado en mi cama como 168 colones en la tarjeta"
254,"por qué dices eso? Yo soy otaku y no hablo casi de aniJAJAJAJA era broma sis"
255,"#feliz domingo.. que todos encontremos la gloria bendita, el ocio, la magia, los besos compartidos de amor, el duende.."
256,"Odio el internado de la Agraria, hace que no se conecte"
257,"Terminé mi Inktober, pero mi hermano no está y no lo podré subir Esperaré que pasen 3 días más para subirlos juntos. Adivinen que dibuje!"
258,"Tranquilos que con el.dinero de Camacho seguro mañana empiezan las escabadoras en el Arraijanal"
259,"@user ese chiste se merece la expulsión durante un día entero"
260,"Despierta desde las 7 habiendo dormido a las 4 masomenos y esta vez Sofi no fue la responsable jajajaja"
261,"@user Muchas gracias Lorena !Que pases una tarde fantástica  #lapsopay"
262,"@user muy pocas veces me levanto de buen humor"
263,"@user Seguro que la palabra ""social"" aparece en numerosas ocasiones"
264,"estoy viendo The Princess's Man, es uno de los pocos doramas que me ha dejado enganchada con la historia"
265,"@user @user si jamia si, no te acuerdas? Y a esa canaria horrorosa  jajajaaa la del italiano"
266,"Senasa NECESITA casas cuna, apúntense no hay suficiente presupuesto para todos los animalito afectados"
267,"@user Échate años y muchas horas aprendiendo y practicando  podría ser un buen título."
268,"@user lo he visto en snap y mira, porque tengo el PC apagado y estoy en cama que si no"
269,"@user recordando los viejos tiempos"
270,"Me emociona mucho que les pasen cosas bonitas a las personas que quiero"
271,"Mañana tengo que ir otra vez al médico y seguro que me vuelven a decir que no puedo beber alcohol"
272,"Quiero ir al Carrefour a por más sobres de Star wars"
273,"@user @user Cuando sea mayor de edad y mi viejo me deje tomar con adultos, jajajajajajajaja"
274,"@user No todas se odian por todo, si encuentran a alguien que piensa distinto se vuelven super amigas para acosar"
275,"Bueno, ¡a finalizar el último libro que tengo en mi “currently-reading” de @user antes que termine el año!"
276,"Un NOSOTROS así de grande por hoy"
277,"Iba a hacer lo de 1mi y medio llenando mi vacío, pero me puede la pereza"
278,"@user con todo. Debe ser un buen 2017. Abrazo"
279,"¡Gracias a todos los socios que hacéis posible nuestro trabajo!  http #FelizViernes http"
280,"q en horas estemos en septiembre, perdona?????  24 junio dnde stas"
281,"@user De todas formas sigo pensando que la primera es como más original, la segunda es muy reutilizable para este tipo de cosas y"
282,"Sería la mejor compañía para Marce y Osquitar  Bueno y yo"
283,"Posiblemente lo que más la mente es no tener una buena gráfica para este juegazo  ayyy"
284,"@user extrañare este tweet como fijado"
285,"@user Genial!! Será la última parada antes del estreno en salas"
286,"Me metieron en mi mente imágenes de habitantes de calle afuera con estos fríos sin cobija y ya no puedo vivir tranquilo"
287,"@user @user @user @user @user @user En la ronda vieja donde cruze, en San Vicente, el Rastro"
288,"@user @user jajaja esta vez vamos equipados!  😘"
289,"@user la Universidad es fácil porque estudias lo que te gusta   JAJAJAJAJAJAJAJAJAJAJAJA ES TODO MENTIRA"
290,"Volviendo a la actividad en #PlanetaInquietante con otro curioso hallazgo en Canelas.  #Portonovo"
291,"Esperando la nueva temporada d #SuperShore2 ,vamos calentando motores con el estreno de #AcapulcoShore3 esta noche a las 22:30 @user"
292,"@user noooooooooo y me cuelgo de la imagen para decir lo mismo "" que tan miserable debo ser? """
293,"@user no se si leas esto, pero lo intentaré.Youtuber, escritor, dj y gamer favorito, hoy es mi cumple y sería muy feliz si me saludaras"
294,"Qué rico el silencio de mi cuarto"
295,"@user hay que ser mala persiana para quitarte esa diversion"
296,"¡Chica / chico material!! Que la salud y el dinero NUNCA falten este nuevo año #Feliz2017 \o/"
297,"Que bella canción siempre me a gustado #AmorProhibido @user saludos #FIORELLACAYOESACOPAESTUYA"
298,"Me habría gustado hacer alguna de las de los Targaryen pero como están  en paradero desconocido pueh no hay imagenes buenas de ellas y"
299,"Estoy en esa delgada línea entre jugar un duelo de cartas Yu gi oh en playstation o planchar mi ropa de mañana"
300,"No es triste, es normal"
301,"@user va xico pro yo noo"
302,"@user @user Si, les dan un descanso de 15 min cada 4 h, y cada 8h, bajan al pueblo más  cercano a comer al bar, tan tranquilamt"
303,"Mi corasonsito me pide a gritos Clexa fanfics pero de los bonitos profundos que te dejan llorando"
304,"No puedo entrar a mi servidor!  y site5 no reponde"
305,"@user @user Como mejor luchar contra la crisis, unidos o siempre enfrentados.  Lo tengo claro."
306,"Buenas noches  ha sido un buen, aunque caluroso, fin de semana o/"
307,"Por qué tiene que ser mi pelo tan goals mojado y tan mierda despues"
308,"Si por aca hay algún chico o una chica mayor de 18 que busca empleo para temporada navideña en tienda, que me ponga un Dm"
309,"Ayer fue mi primera clase de yoga y amanecí demasiado feliz lo que hace el ejercicio @user @user"
310,"Noemi duerme y yo estoy abandonada, hacedme caso"
311,"@user Entiendo  ¿Puedo confiar en que pueda bajar en los próximos meses o mejor me compro ya los de otras semanas?"
312,"¡Buenos días y #FelizViernes ¡ Ya queda poco por disfrutar el fin de semana en #famila! #Viernes #menorca"
313,"Un chico vino desde adelante a sentarse cerca de mi sólo a preguntarme la hora... Quizás era el amor de mi vida y yo lo mire feo"
314,"@user JAJAJAJA No seria nada raro que el que maneje esa combi tenga como chófer a H.Becerril y a M.Mulder como cobrador."
315,"El amor es paciente, es bondadoso, no es envidioso ni orgulloso, no es egoísta, no guarda rencor. 1 Corintios 13:4-5 Buen día a todos"
316,"me da mucha penita  pq encima creo que esta mala con la enfermedad esta que tienen muchos perros de la cadera, esta cojita"
317,"Empezando un nuevo viaje #amoviajar"
318,"@user es cuestión de gustos. Nani es mejor si haces skills... yo que hago muchos de 4 estrellas, con Kono voy sobrado"
319,"@user digamos que soy lo bastante mayor para q si se pone tonta,ponerla en mis rodillas y darle unos azotes en el culete"
320,"@user que no en serio"
321,"@user buenas noches, David  un abrazo!"
322,"¿Quién va a querer a un tipo que llega a su casa a las 12 de la noche a su casa 5 veces por semana? ¿Y que no tiene findes ni feriados?"
323,"millennial memorial: cambiar contraseña wifi con el nombre del gatito amigo de boabdil que se acaba de morir"
324,"Bocata de jamón acompañado de sidra y de postre tarta de chocolate para cenar.  Sí, empiezo mis vacaciones, como lo sabéis?"
325,"Nada que agradecer. Mi SF para vosotr@s RT @Afatel_Extremad: Queremos agradecer a @AlejandroSanz su (cont) http://t.co/giucykrv"
326,"http://t.co/40T2gMGn las fotos del tercer y último concierto acústico en El Ejido, gracias por estas 3 noches seguidas llenas de cariño."
327,"Por cierto, para la gira mexicana, que canciones os gustaría escuchar en el repertorio de los conciertos? alguna sugerencia diferente?"
328,"Muy buenas noches followercetes! http://t.co/elT23AXV"
